Type and size of medical resources - Pharmacies,Data Domain,Total number of care centers,Existence of nearby care centers - exists,Existence of health resources - exists,Town,Total number of first aid centers,Type and size of medical resources - Medical Centers,refArea,Observation URI,Percentage of towns with special needs indiciduals - Without special needs,Type and size of medical resources - Hospitals,Percentage of towns with special needs indiciduals - With special needs,publisher,Type and size of medical resources - Clinics,dataset,Existence of special needs care centers - exists,Type and size of medical resources - Labs and Radiology ,Existence of special needs care centers - does not exist,references,Existence of a first aid center - exists
0,,0,0,0, Bireh,1,0,https://dbpedia.org/page/Mount_Lebanon_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-+Bireh,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1
0,,0,0,0,A'ain El-Mir (El Establ),0,0,https://dbpedia.org/page/South_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-A%27ain+El-Mir+%28El+Establ%29,0,0,0,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,0,AAridet Cheikh Zennad,0,0,https://dbpedia.org/page/Akkar_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-AAridet+Cheikh+Zennad,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,1,0,Aaba,0,0,https://dbpedia.org/page/North_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aaba,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,1,Aabadiyeh,0,0,http://dbpedia.org/resource/Baabda_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aabadiyeh,0,0,1,Impact Open Data,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,0,Aabaydat,0,0,http://dbpedia.org/resource/Byblos_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aabaydat,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,0,Aabba,0,0,https://dbpedia.org/page/Nabatieh_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aabba,0,0,0,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0
25,,1,1,1,Aabbesiyyi,2,5,http://dbpedia.org/resource/Tyre_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aabbesiyyi,0,3,1,Impact Open Data,3,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,1,4,0,https://impact.cib.gov.lb/home#open_data_section,1
0,,0,0,0,Aabdine,1,0,http://dbpedia.org/resource/Bsharri_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aabdine,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1
0,,1,1,0,Aabra Saida,0,0,http://dbpedia.org/resource/Sidon_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aabra+Saida,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
